t,event,top5,size,hour,day,nurses,pid,area,acuity,ctas,is_ems,is_critical,lwbs_min,base_min,one,two,three,chosen,requires_lab,lab_prob,requires_di,di_prob,di_modality,arrival_to_offload,queue,qlen,to,bonus_time,bonus_emscrit,bonus_download,score,doctor,doc_active_panel,busy,cap,chosen_acuity,chosen_bonus_time,chosen_bonus_emscrit,chosen_bonus_download,chosen_score,minutes,mode,touch,duration,ems_direct,add,total_bonus,steps,elapsed,offload_to_clear,total,service,attempt,critical,modality,reason,new_area
1.0,enqueue,,,,,,139.0,A,,,False,,,,,,,,,,,,,,ACUTE,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,route,,,,,,139.0,A,,,False,,,,,,,,,,,,,,,,ACUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,dispatch_cand,,,,,,139.0,A,0.7752533929534604,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.7752533929534604,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,treatment_start,,,,,,139.0,A,,,,,,,,,,,,,,,,,,,,,,,,DrA1,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1.0,bed_start,,,,,,139.0,A,,,False,,,,,,,,,,,,,,,,,,,,,DrA1,,1.0,16.0,0.7752533929534604,0.0,0.0,0.0,0.7752533929534604,,,,,,,,,,,,,,,,,
1.0,assess_start,,,,,,139.0,A,,,,,,,,,,,,,,,,,,,,,,,,DrA1,,,,,,,,,22.95711293030897,ACUTE,1.0,,,,,,,,,,,,,,
2.0,arrival,,,,,,140.0,A,0.22282980636153354,4.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,lwbs_set,,,,,,140.0,A,,,True,,130.34973846090895,98.10362140608544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,touch_assigned,,,,,,140.0,,,,,,,,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,orders_on_arrival,,,,,,140.0,,,,,,,,,,,,0.0,0.55,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,arrival,,,,,,141.0,FAST,0.952350305815328,3.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,lwbs_set,,,,,,141.0,FAST,,,False,,175.0011645022135,159.78224122632338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,touch_assigned,,,,,,141.0,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,orders_on_arrival,,,,,,141.0,,,,,,,,,,,,1.0,0.55,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,enqueue,,,,,,141.0,,,,False,,,,,,,,,,,,,,FAST,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,route,,,,,,141.0,FAST,,,False,,,,,,,,,,,,,,,,FAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,treatment_start,,,,,,141.0,FAST,,,,,,,,,,,,,,,,,,,,,,,,DrFT1,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5.0,bed_start,,,,,,141.0,FAST,,,False,,,,,,,,,,,,,,,,,,,,,DrFT1,,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,
5.0,assess_start,,,,,,141.0,FAST,,,,,,,,,,,,,,,,,,,,,,,,DrFT1,,,,,,,,,39.84287485652874,FAST,,,,,,,,,,,,,,,
10.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,arrival,,,,,,142.0,A,0.4857586577785646,4.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,lwbs_set,,,,,,142.0,A,,,True,,260.17177895142555,209.04766191722604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,touch_assigned,,,,,,142.0,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,orders_on_arrival,,,,,,142.0,,,,,,,,,,,,1.0,0.55,1.0,0.35,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.7395629682896,offload_end,,,,,,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7395629682896,,,,,,,,,,,,,
17.7395629682896,download_start,,,,,,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,
17.7395629682896,enqueue,,,,,,138.0,A,,,True,,,,,,,,,,,,,,ACUTE,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
17.7395629682896,offload_start,,,,,,140.0,,,,,,,,,,,,,,,,,15.7395629682896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,dispatch_cand,,,,,,138.0,A,0.3714944977579584,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0.3801757321483051,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,treatment_start,,,,,,138.0,A,,,,,,,,,,,,,,,,,,,,,,,,DrA1,2.0,,,,,,,,,,,,,,,,,,,,,,,,
18.0,download_end,,,,,,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,0.2604370317103992,,,,,,,,,,,,,,,,
18.0,bed_start,,,,,,138.0,A,,,True,,,,,,,,,,,,,,,,,,,,,DrA1,,2.0,16.0,0.3714944977579584,0.0,0.0,0.0,0.3714944977579584,,,,,,,,,,,,,,,,,
18.0,assess_start,,,,,,138.0,A,,,,,,,,,,,,,,,,,,,,,,,,DrA1,,,,,,,,,69.81094963628149,ACUTE,1.0,,,,,,,,,,,,,,
20.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,arrival,,,,,,143.0,A,0.8782773313090646,2.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,lwbs_set,,,,,,143.0,A,,,True,,150.0506727566868,134.09938299172893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,touch_assigned,,,,,,143.0,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,orders_on_arrival,,,,,,143.0,,,,,,,,,,,,1.0,0.55,1.0,0.35,Xray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.95711293030897,assess_end,,,,,,139.0,A,,,,,,,,,,,,,,,,,,,,,,,,DrA1,,,,,,,,,,ACUTE,1.0,,,,,,,,,,,,,,
23.95711293030897,nurse_assess_start,,,,,,139.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.28464927728698,,,,,,,,,,,,,,,,
23.95711293030897,lab_start,,,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.95533668558538,offload_end,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.215773717295777,,,,,,,,,,,,,
27.95533668558538,download_start,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,
27.95533668558538,enqueue,,,,,,140.0,A,,,True,,,,,,,,,,,,,,ACUTE,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
27.95533668558538,offload_start,,,,,,142.0,,,,,,,,,,,,,,,,,15.95533668558538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,dispatch_cand,,,,,,140.0,A,0.22282980636153354,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0.22431858350868758,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,treatment_start,,,,,,140.0,A,,,,,,,,,,,,,,,,,,,,,,,,DrA1,3.0,,,,,,,,,,,,,,,,,,,,,,,,
28.0,download_end,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,0.04466331441462046,,,,,,,,,,,,,,,,
28.0,bed_start,,,,,,140.0,A,,,True,,,,,,,,,,,,,,,,,,,,,DrA1,,3.0,16.0,0.22282980636153354,0.0,0.0,0.0,0.22282980636153354,,,,,,,,,,,,,,,,,
28.0,assess_start,,,,,,140.0,A,,,,,,,,,,,,,,,,,,,,,,,,DrA1,,,,,,,,,33.036674901822344,ACUTE,1.0,,,,,,,,,,,,,,
30.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,download_acuity_bump,,,,,,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,1.0,15.2604370317104,,,,,,,,
35.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.395446674662224,offload_end,,,,,,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.440109989076847,,,,,,,,,,,,,
37.395446674662224,enqueue,,,,,,142.0,A,,,True,,,,,,,,,,,,,,ACUTE,1.0,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,
37.395446674662224,offload_start,,,,,,143.0,,,,,,,,,,,,,,,,,14.395446674662224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.8324253244452313,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.8457586577785646,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,arrival,,,,,,144.0,A,1.252037829284682,2.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,lwbs_set,,,,,,144.0,A,,,True,,102.24116515592276,102.30788067441624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,touch_assigned,,,,,,144.0,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,orders_on_arrival,,,,,,144.0,,,,,,,,,,,,1.0,0.55,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,acute_queue_refresh,"[{'pid': 142, 'score': 0.4857586577785646, 'acuity': 0.4857586577785646, 'bonus': 0.0, 'rules': 0.0}]",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,acute_queue_refresh,"[{'pid': 142, 'score': 0.4857586577785646, 'acuity': 0.4857586577785646, 'bonus': 0.0, 'rules': 0.0}]",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.8590919911118979,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.8724253244452314,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.8857586577785646,,,,,,,,,,,,,,,,,,,,,,,,,,
42.739562968289604,ems_clear,,,,,,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.000000000000004,42.739562968289604,,,,,,
43.0,download_acuity_bump,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,1.0,15.04466331441462,,,,,,,,
43.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.899091991111898,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9124253244452313,,,,,,,,,,,,,,,,,,,,,,,,,,
44.84287485652874,assess_end,,,,,,141.0,FAST,,,,,,,,,,,,,,,,,,,,,,,,DrFT1,,,,,,,,,,FAST,,,,,,,,,,,,,,,
44.84287485652874,lab_start,,,,,,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,acute_queue_refresh,"[{'pid': 142, 'score': 0.4857586577785646, 'acuity': 0.4857586577785646, 'bonus': 0.0, 'rules': 0.0}]",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,acute_queue_refresh,"[{'pid': 142, 'score': 0.4857586577785646, 'acuity': 0.4857586577785646, 'bonus': 0.0, 'rules': 0.0}]",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9257586577785646,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.939091991111898,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9524253244452313,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,download_acuity_bump,,,,,,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.4,2.0,30.2604370317104,,,,,,,,
48.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9657586577785646,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.979091991111898,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,acute_queue_refresh,"[{'pid': 142, 'score': 0.4857586577785646, 'acuity': 0.4857586577785646, 'bonus': 0.0, 'rules': 0.0}]",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,acute_queue_refresh,"[{'pid': 142, 'score': 0.4857586577785646, 'acuity': 0.4857586577785646, 'bonus': 0.0, 'rules': 0.0}]",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9924253244452312,,,,,,,,,,,,,,,,,,,,,,,,,,
50.16200821922082,offload_end,,,,,,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.766561544558598,,,,,,,,,,,,,
50.16200821922082,download_start,,,,,,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,
50.16200821922082,enqueue,,,,,,143.0,A,,,True,,,,,,,,,,,,,,ACUTE,2.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
50.16200821922082,offload_start,,,,,,144.0,,,,,,,,,,,,,,,,,10.162008219220823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0057586577785647,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,dispatch_cand,,,,,,143.0,A,0.8782773313090646,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0.912914324914604,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,arrival,,,,,,145.0,A,1.039622334642221,3.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,lwbs_set,,,,,,145.0,A,,,False,,170.1332886855554,159.40219683797937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,touch_assigned,,,,,,145.0,,,,,,,,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,orders_on_arrival,,,,,,145.0,,,,,,,,,,,,1.0,0.55,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,enqueue,,,,,,145.0,A,,,False,,,,,,,,,,,,,,ACUTE,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,route,,,,,,145.0,A,,,False,,,,,,,,,,,,,,,,ACUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0190919911118979,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,dispatch_cand,,,,,,143.0,A,0.8782773313090646,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0.9542476582479372,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,dispatch_cand,,,,,,145.0,A,1.039622334642221,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.039622334642221,,,,,,,,,,,,,,,,,,,,,,,,,,
52.95533668558538,ems_clear,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,50.95533668558538,,,,,,
53.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0324253244452313,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,dispatch_cand,,,,,,143.0,A,0.8782773313090646,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0.9955809915812706,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,dispatch_cand,,,,,,145.0,A,1.039622334642221,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.055622334642221,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0457586577785645,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,dispatch_cand,,,,,,143.0,A,0.8782773313090646,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,1.036914324914604,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,dispatch_cand,,,,,,145.0,A,1.039622334642221,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0716223346422211,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,acute_queue_refresh,"[{'pid': 143, 'score': 5.878277331309064, 'acuity': 0.8782773313090646, 'bonus': 0.0, 'rules': 5.0}, {'pid': 145, 'score': 1.039622334642221, 'acuity': 1.039622334642221, 'bonus': 0.0, 'rules': 0.0}, {'pid': 142, 'score': 0.4857586577785646, 'acuity': 0.4857586577785646, 'bonus': 0.0, 'rules': 0.0}]",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,acute_queue_refresh,"[{'pid': 143, 'score': 5.878277331309064, 'acuity': 0.8782773313090646, 'bonus': 0.0, 'rules': 5.0}, {'pid': 145, 'score': 1.039622334642221, 'acuity': 1.039622334642221, 'bonus': 0.0, 'rules': 0.0}, {'pid': 142, 'score': 0.4857586577785646, 'acuity': 0.4857586577785646, 'bonus': 0.0, 'rules': 0.0}]",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,dispatch_cand,,,,,,143.0,A,0.8782773313090646,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,1.0782476582479372,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,dispatch_cand,,,,,,145.0,A,1.039622334642221,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0876223346422211,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.059091991111898,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,dispatch_cand,,,,,,143.0,A,0.8782773313090646,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,1.1195809915812704,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,dispatch_cand,,,,,,145.0,A,1.039622334642221,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.1036223346422211,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0724253244452313,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,dispatch_cand,,,,,,143.0,A,0.8782773313090646,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,1.160914324914604,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,dispatch_cand,,,,,,145.0,A,1.039622334642221,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.1196223346422212,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0857586577785647,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,download_acuity_bump,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.4,2.0,30.04466331441462,,,,,,,,
58.0,dispatch_cand,,,,,,143.0,A,0.8782773313090646,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,1.2022476582479373,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,dispatch_cand,,,,,,145.0,A,1.039622334642221,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.1356223346422212,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.099091991111898,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,dispatch_cand,,,,,,143.0,A,0.8782773313090646,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,1.2435809915812706,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,dispatch_cand,,,,,,145.0,A,1.039622334642221,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.1516223346422212,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,dispatch_cand,,,,,,142.0,A,0.4857586577785646,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.1124253244452313,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,offload_staff_set,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
